title,alternate_titles,region,country,publisher,developer,release_date,players,coop,genre,esrb_rating,description
"1995 All The News And Views","","Region Not Set","","Philips Interactive Media, Inc.","The Lost Boys","1995-01-01","","No","","","1995: All the News and Views is a Miscellaneous game, developed by Lost Boys and published by Philips Media, which was released in Europe in 1995."
"2 Unlimited – Beyond Limits","","NTSC-U","United States of America","ZyX Inc.","","1994-01-01","1","No","Music | GBA Video / PSP Video","Not Rated","Clips:
Anita & Ray present some of their freshest videoclips. Let's get busy with: No Limit, Tribal Dance, Faces, Maximum Overdrive and Let The Beat Control Your Body.

Anita's Scrap Book:
Check out Anita's personal scrapbook with private notes, pictures and a hype tape.

Live Concerts:
Here are two of 2 Unlimited's dopest gigs for you to hook up with. We've got Tribal Dance and No One (live!!!), so this really is hype, check it out.

Ray's Box:
Organised or not, getting into this stuff is something you've got to experience.

2 Unlimited's Fly Gear:
If you dig the music, maybe you feel like getting into the gear as well.

This is a CDi disc, but the audio tracks play on any CD player.

Track List:
1		Get Ready For This	3:47
2		Twilight Zone	4:13
3		Workaholic	3:39
4		The Magic Friend	3:49
5		No Limit	3:35
6		Tribal Dance	3:45
7		Let The Beat Control Your Body	3:44
8		The Real Thing	3:42"
"3rd Degree","","Region Not Set","","Philips Interactive Media, Inc.","PF Magic","1992-01-01","4","No","Strategy","","Would you like to protect your boss who is having an affair? If you got an anniversary gift you didn't like, what would you do? If you found $1 million, would you keep it? You know how you would answer--but what about your friends? Do you think you know? You'll be quizzed on love, family, career, money and potpourri. Sometimes you're right, and sometimes you're not! The answers will surprise you. It's 3rd Degree--the first CD-i game show. You are the contestant in the hot seat in this interactive game. Meet hilarious hosts and a very astute judge. Choose from an assortment of colorful characters and challenge your friends to three rounds of provocative dilemmas! In 3rd Degree it all adds up to lots of laughs, and the kind of lively conflict everyone loves."
"A Great Day At The Races","","Region Not Set","","Philips Interactive Media, Inc.","Total Vision","1993-01-01","","No","Sports","","No overview is currently available for this title, please feel free to add one."
"A National Parks Tour","Grand Canyon, Yellowstone, and Yosemite","Region Not Set","","","","1992-01-01","1","No","Education","E - Everyone","Philips CD-i and Photo CD"
"A Visit to Sesame Street: Letters","","Region Not Set","","Philips Interactive Media, Inc.","Children's Television Workshop","1991-01-01","","No","","","The main menu of the game is a scrolling two-dimensional computer animation of Sesame Street hosted by Telly Monster. He follows the player as they choose what doors to go into for different games. Locations include Big Bird's nest, Snuffy's cave (which is depicted here as located behind the courtyard), and Ernie and Bert's apartment.

As with its companion Numbers, this game features posthumous voice-over work by Jim Henson as Ernie and Kermit the Frog. A special thanks message to Henson is seen at the end credits."
"A Visit to Sesame Street: Numbers","","NTSC","","Capitol Disc Interactive Corporation","Capitol Disc Interactive","1992-01-01","1","No","Education","Not Rated","This game is meant to help children learn basic math skills such as simple addition and learning to count. The player controls a star that can scroll over interactive objects. Most objects that are clicked on give the player a short animation sequence. The game also contains radios and television sets, that when selected, let the player listen to songs and watch animated clips from the television series, respectively. The game features over an hour of footage from the television series, including songs about numbers. There is also a phone which the player can use to call a muppet and books that are read to the player."
"ABC Sports Presents: Power Hitter","","Region Not Set","","Philips Interactive Media, Inc.","Fathom Pictures","1992-01-01","","No","Sports","","No overview is currently available for this title, please feel free to add one."
"ABC Sports Presents: The Palm Springs Open","","NTSC-U","","Philips Interactive Media, Inc.","Fathom Pictures","1991-01-01","2","No","Sports","Not Rated","No overview is currently available for this title, please feel free to add one."
"Accelerator","","Region Not Set","","Philips Interactive Media, Inc.","SPC Vision","1997-01-01","","No","Racing","","No overview is currently available for this title, please feel free to add one."
"Alfapet","","Region Not Set","","Philips Interactive Media, Inc.","Adatek","1993-01-01","","No","","","No overview is currently available for this title, please feel free to add one."
"Alice in Wonderland","","Region Not Set","","Philips Interactive Media, Inc.","Spinnaker Software Corporation","1992-01-01","1","No","Adventure","","Now you are Alice and Wonderland awaits you. Mad Hatter, the Cheshire Cat, the Queen of Spades, and all the Wonderland characters are there. This interactive fast-paced adventure game of the classic Alice in Wonderland excites the player with 250 amazing scenarios and 40 eccentric and rich characters. There are mushrooms, cakes and potions, all ready to eat. One will make you small as a mouse; another big as a giant! Characters appear to help (or hinder) you as you gather clues and acquire the powers needed to escape from Wonderland and return home. Rich digital color and sound add to one of the most inventive, fun CD-i programs yet."
"Alien Gate","","Region Not Set","","Philips Interactive Media, Inc.","SPC Vision","1992-01-01","1","No","Shooter","","A terrifying evil is threatening the safety of your planet. Hordes of monsters are advancing through the Alien Gate with one objective in mind - the destruction of your world! Only you can ward off this danger. As a rocket fighter pilot, your coolheadedness will be tested to the utmost. The last battle has begun."
"Arcade Classics - Namco Compilation: Galaxian, Galaga, Ms. Pac-Man","","Region Not Set","","Philips Interactive Media, Inc.","Namco","1996-01-01","","No","","","Remember the good old days spending hours behind the arcade machine? These days are back. ""Arcade Classics"" has 3 all time classic games from the time that ""Game play"" was #1: Ms. Pac-Man, Galaxian and Galaga!"
"Asterix: Caesar's Challenge","","NTSC-U","","Philips Interactive Media, Inc.","Infogrames","1995-01-01","1","No","Adventure","Not Rated","Caesar challenges our indomitable Gauls to wander the Roman Empire freely. This provocation is bound to make Gaulish blood boil: after the Tour of Gaul, here comes the Tour of the Roman Empire.

The expedition is led by the druid Getafix, and each player chooses a character to play from a cast including Asterix, Obelix, Impedimenta, Panacea, Justforkix and Geriatrix."
